TimeID,s1,s2
t1,0.05395165,0.454841276
t2,0.052063329,0.471070001
t3,0.052033317,0.319042474
t4,0.041253065,0.341498389
t5,0.022098663,0.445704015
t6,0.09975532,0.53254197
t7,0.080801152,0.436585991
t8,0.055851353,0.311608791
t9,0.035486572,0.267750933
t10,0.020480876,0.326017643
t11,0.012519886,0.441230474
t12,0.011052496,0.493039443
t13,0.022132496,0.755709791
t14,0.052503543,0.775125821
t15,0.049080804,0.802809839
t16,0.045589118,0.855740837
t17,0.040975498,0.898764301
t18,0.04111687,0.928235279
t19,0.044661513,0.932537103
t20,0.082181029,0.888310984
t21,0.131932122,0.900603171
t22,0.153355975,0.944099081
t23,0.150507472,0.962561905
t24,0.139617342,0.954785142
